Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет,question,answer,snippet
Какие права у меня есть при обнаружении существенного недостатка товара?,"Согласно статье 18 Закона РФ ""О защите прав потребителей"", при обнаружении существенного недостатка товара потребитель имеет определенные права, включая требование о замене товара или возврате уплаченной суммы.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,20081.0,20339.0,"По истечении этого срока указанные требования подлежат удовлетворению в одном из следующих случаев:
обнаружение существенного недостатка товара;
нарушение установленных настоящим Законом сроков устранения недостатков товара;
невозможность использования товара в течение каждого года гарантийного срока в совокупности более чем тридцать дней вследствие неоднократного устранения его различных недостатков.",Какие права у меня есть при обнаружении существенного недостатка товара?,"Согласно статье 18 Закона РФ ""О защите прав потребителей"", при обнаружении существенного недостатка товара потребитель имеет определенные права, включая требование о замене товара или возврате уплаченной суммы.","По истечении этого срока указанные требования подлежат удовлетворению в одном из следующих случаев:
обнаружение существенного недостатка товара;
нарушение установленных настоящим Законом сроков устранения недостатков товара;
невозможность использования товара в течение каждого года гарантийного срока в совокупности более чем тридцать дней вследствие неоднократного устранения его различных недостатков."
В какой срок должно быть удовлетворено требование потребителя о безвозмездном устранении существенного недостатка товара?,"В соответствии со статьей 20 Закона РФ ""О защите прав потребителей"", требование о безвозмездном устранении недостатков должно быть удовлетворено в течение определенного срока.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,23264.0,23496.0,"1. Если срок устранения недостатков товара не определен в письменной форме соглашением сторон, эти недостатки должны быть устранены изготовителем (продавцом, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) незамедлительно, то есть в минимальный срок, объективно необходимый для их устранения с учетом обычно применяемого способа.",В какой срок должно быть удовлетворено требование потребителя о безвозмездном устранении существенного недостатка товара?,"В соответствии со статьей 20 Закона РФ ""О защите прав потребителей"", требование о безвозмездном устранении недостатков должно быть удовлетворено в течение определенного срока.","1. Если срок устранения недостатков товара не определен в письменной форме соглашением сторон, эти недостатки должны быть устранены изготовителем (продавцом, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) незамедлительно, то есть в минимальный срок, объективно необходимый для их устранения с учетом обычно применяемого способа."
"Что делать, если продавец отказывается проводить гарантийный ремонт товара?","В соответствии со статьей 18 Закона РФ ""О защите прав потребителей"", в случае отказа потребитель имеет право обратиться с иными требованиями, предусмотренными законом.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,19256.0,19954.0,"1. Потребитель в случае обнаружения в товаре недостатков, если они не были оговорены продавцом, по своему выбору вправе:
потребовать замены на товар этой же марки (этих же модели и (или) артикула);
потребовать замены на такой же товар другой марки (модели, артикула) с соответствующим перерасчетом покупной цены;
потребовать соразмерного уменьшения покупной цены;
потребовать незамедлительного безвозмездного устранения недостатков товара или возмещения расходов на их исправление потребителем или третьим лицом;
отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за товар суммы. По требованию продавца и за его счет потребитель должен возвратить товар с недостатками.","Что делать, если продавец отказывается проводить гарантийный ремонт товара?","В соответствии со статьей 18 Закона РФ ""О защите прав потребителей"", в случае отказа потребитель имеет право обратиться с иными требованиями, предусмотренными законом.","1. Потребитель в случае обнаружения в товаре недостатков, если они не были оговорены продавцом, по своему выбору вправе:
потребовать замены на товар этой же марки (этих же модели и (или) артикула);
потребовать замены на такой же товар другой марки (модели, артикула) с соответствующим перерасчетом покупной цены;
потребовать соразмерного уменьшения покупной цены;
потребовать незамедлительного безвозмездного устранения недостатков товара или возмещения расходов на их исправление потребителем или третьим лицом;
отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за товар суммы. По требованию продавца и за его счет потребитель должен возвратить товар с недостатками."
Как регулируется вопрос проведения экспертизы товара при возникновении спора о его качестве?,"Согласно статье 18 Закона РФ ""О защите прав потребителей"", при возникновении спора продавец обязан провести экспертизу товара за свой счет.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,21254.0,21551.0,"В случае спора о причинах возникновения недостатков товара продавец (изготовитель), уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер обязаны провести экспертизу товара за свой счет. Экспертиза товара проводится в сроки, установленные статьями 20, 21 и 22 настоящего Закона для удовлетворения соответствующих требований потребителя.",Как регулируется вопрос проведения экспертизы товара при возникновении спора о его качестве?,"Согласно статье 18 Закона РФ ""О защите прав потребителей"", при возникновении спора продавец обязан провести экспертизу товара за свой счет.","В случае спора о причинах возникновения недостатков товара продавец (изготовитель), уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер обязаны провести экспертизу товара за свой счет. Экспертиза товара проводится в сроки, установленные статьями 20, 21 и 22 настоящего Закона для удовлетворения соответствующих требований потребителя."
В какой срок продавец должен вернуть деньги за товар ненадлежащего качества?,"В соответствии со статьей 22 Закона РФ ""О защите прав потребителей"", требование о возврате денег должно быть удовлетворено в течение десяти дней.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,24736.0,25197.0,"Требования потребителя о соразмерном уменьшении покупной цены товара, возмещении расходов на исправление недостатков товара потребителем или третьим лицом, возврате уплаченной за товар денежной суммы, а также требование о возмещении убытков, причиненных потребителю вследствие продажи товара ненадлежащего качества либо предоставления ненадлежащей информации о товаре, подлежит удовлетворению продавцом (изготовителем, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) в течение десяти дней со дня предъявления соответствующего требования.",В какой срок продавец должен вернуть деньги за товар ненадлежащего качества?,"В соответствии со статьей 22 Закона РФ ""О защите прав потребителей"", требование о возврате денег должно быть удовлетворено в течение десяти дней.","Требования потребителя о соразмерном уменьшении покупной цены товара, возмещении расходов на исправление недостатков товара потребителем или третьим лицом, возврате уплаченной за товар денежной суммы, а также требование о возмещении убытков, причиненных потребителю вследствие продажи товара ненадлежащего качества либо предоставления ненадлежащей информации о товаре, подлежит удовлетворению продавцом (изготовителем, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) в течение десяти дней со дня предъявления соответствующего требования."
"Как определяется цена товара, работы или услуги?","Цена определяется по соглашению сторон в соответствии со статьей 424 Гражданского кодекса Российской Федерации, если иное не предусмотрено законом (статья 10 Закона РФ ""О защите прав потребителей"").",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,11341.0,11666.0,"цену в рублях и условия приобретения товаров (работ, услуг), в том числе при оплате товаров (работ, услуг) через определенное время после их передачи (выполнения, оказания) потребителю, полную сумму, подлежащую выплате потребителем, и график погашения этой суммы;","Как определяется цена товара, работы или услуги?","Цена определяется по соглашению сторон в соответствии со статьей 424 Гражданского кодекса Российской Федерации, если иное не предусмотрено законом (статья 10 Закона РФ ""О защите прав потребителей"").","цену в рублях и условия приобретения товаров (работ, услуг), в том числе при оплате товаров (работ, услуг) через определенное время после их передачи (выполнения, оказания) потребителю, полную сумму, подлежащую выплате потребителем, и график погашения этой суммы;"
Обязан ли продавец выдать мне кассовый чек при покупке?,"Да, в соответствии с Федеральным законом от 22 мая 2003 г. N 54-ФЗ ""О применении контрольно-кассовой техники при осуществлении расчетов в Российской Федерации"", продавец обязан выдать кассовый чек.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,20910.0,21107.0,"5. Отсутствие у потребителя кассового или товарного чека либо иного документа, удостоверяющих факт и условия покупки товара, не является основанием для отказа в удовлетворении его требований.",Обязан ли продавец выдать мне кассовый чек при покупке?,"Да, в соответствии с Федеральным законом от 22 мая 2003 г. N 54-ФЗ ""О применении контрольно-кассовой техники при осуществлении расчетов в Российской Федерации"", продавец обязан выдать кассовый чек.","5. Отсутствие у потребителя кассового или товарного чека либо иного документа, удостоверяющих факт и условия покупки товара, не является основанием для отказа в удовлетворении его требований."
"Что делать, если мне оказали услугу, которая не соответствует условиям договора?","Согласно статье 29 Закона РФ ""О защите прав потребителей"", потребитель имеет право потребовать безвозмездного устранения недостатков, уменьшения цены или повторного оказания услуги.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,31743.0,32336.0,"1. Потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе по своему выбору потребовать:
безвозмездного устранения недостатков выполненной работы (оказанной услуги);
соответствующего уменьшения цены выполненной работы (оказанной услуги);
безвозмездного изготовления другой вещи из однородного материала такого же качества или повторного выполнения работы. При этом потребитель обязан возвратить ранее переданную ему исполнителем вещь;
возмещения понесенных им расходов по устранению недостатков выполненной работы (оказанной услуги) своими силами или третьими лицами.","Что делать, если мне оказали услугу, которая не соответствует условиям договора?","Согласно статье 29 Закона РФ ""О защите прав потребителей"", потребитель имеет право потребовать безвозмездного устранения недостатков, уменьшения цены или повторного оказания услуги.","1. Потребитель при обнаружении недостатков выполненной работы (оказанной услуги) вправе по своему выбору потребовать:
безвозмездного устранения недостатков выполненной работы (оказанной услуги);
соответствующего уменьшения цены выполненной работы (оказанной услуги);
безвозмездного изготовления другой вещи из однородного материала такого же качества или повторного выполнения работы. При этом потребитель обязан возвратить ранее переданную ему исполнителем вещь;
возмещения понесенных им расходов по устранению недостатков выполненной работы (оказанной услуги) своими силами или третьими лицами."
Как регулируется вопрос ответственности исполнителя за нарушение прав потребителей при оказании услуг?,"В соответствии со статьей 13 и главой III Закона РФ ""О защите прав потребителей"", исполнитель несет ответственность за нарушение прав потребителей.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,14574.0,14762.0,"1. За нарушение прав потребителей изготовитель (исполнитель, продавец, уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер) несет ответственность, предусмотренную законом или договором.",Как регулируется вопрос ответственности исполнителя за нарушение прав потребителей при оказании услуг?,"В соответствии со статьей 13 и главой III Закона РФ ""О защите прав потребителей"", исполнитель несет ответственность за нарушение прав потребителей.","1. За нарушение прав потребителей изготовитель (исполнитель, продавец, уполномоченная организация или уполномоченный индивидуальный предприниматель, импортер) несет ответственность, предусмотренную законом или договором."
Могу ли я отказаться от исполнения договора оказания услуг?,"Да, согласно статье 32 Закона РФ ""О защите прав потребителей"", потребитель вправе отказаться от исполнения договора при условии оплаты фактически понесенных расходов.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,34728.0,34964.0,"Потребитель вправе отказаться от исполнения договора о выполнении работ (оказании услуг) в любое время при условии оплаты исполнителю фактически понесенных им расходов, связанных с исполнением обязательств по данному договору.",Могу ли я отказаться от исполнения договора оказания услуг?,"Да, согласно статье 32 Закона РФ ""О защите прав потребителей"", потребитель вправе отказаться от исполнения договора при условии оплаты фактически понесенных расходов.","Потребитель вправе отказаться от исполнения договора о выполнении работ (оказании услуг) в любое время при условии оплаты исполнителю фактически понесенных им расходов, связанных с исполнением обязательств по данному договору."
Как регулируется вопрос ответственности за предоставление недостоверной информации о товаре?,"В соответствии со статьей 12 Закона РФ ""О защите прав потребителей"", продавец несет ответственность за предоставление недостоверной информации.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,13207.0,13498.0,"2. Продавец (исполнитель), не предоставивший покупателю полной и достоверной информации о товаре (работе, услуге), несет ответственность, предусмотренную пунктами 1-4 статьи 18 или пунктом 1 статьи 29 настоящего Закона, за недостатки товара (работы, услуги), возникшие после его передачи потребителю вследствие отсутствия у него такой информации.",Как регулируется вопрос ответственности за предоставление недостоверной информации о товаре?,"В соответствии со статьей 12 Закона РФ ""О защите прав потребителей"", продавец несет ответственность за предоставление недостоверной информации.","2. Продавец (исполнитель), не предоставивший покупателю полной и достоверной информации о товаре (работе, услуге), несет ответственность, предусмотренную пунктами 1-4 статьи 18 или пунктом 1 статьи 29 настоящего Закона, за недостатки товара (работы, услуги), возникшие после его передачи потребителю вследствие отсутствия у него такой информации."
"Что делать, если мои права потребителя были нарушены?","В случае нарушения прав потребителя следует обратиться с претензией, а затем в уполномоченные органы или суд (статья 17 Закона РФ ""О защите прав потребителей"").",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,18489.0,18524.0,1. Защита прав потребителей осуществляется судом.,"Что делать, если мои права потребителя были нарушены?","В случае нарушения прав потребителя следует обратиться с претензией, а затем в уполномоченные органы или суд (статья 17 Закона РФ ""О защите прав потребителей"").",1. Защита прав потребителей осуществляется судом.
"Имею ли я право на компенсацию морального вреда, если мои права потребителя были нарушены?","Да, согласно статье 15 Закона РФ ""О защите прав потребителей"", потребитель имеет право на компенсацию морального вреда.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,16482.0,16973.0,"Моральный вред, причиненный потребителю вследствие нарушения изготовителем (исполнителем, продавцом, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) прав потребителя, предусмотренных законами и правовыми актами Российской Федерации, регулирующими отношения в области защиты прав потребителей, подлежит компенсации причинителем вреда при наличии его вины. Размер компенсации морального вреда определяется судом и не зависит от размера возмещения имущественного вреда.","Имею ли я право на компенсацию морального вреда, если мои права потребителя были нарушены?","Да, согласно статье 15 Закона РФ ""О защите прав потребителей"", потребитель имеет право на компенсацию морального вреда.","Моральный вред, причиненный потребителю вследствие нарушения изготовителем (исполнителем, продавцом, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) прав потребителя, предусмотренных законами и правовыми актами Российской Федерации, регулирующими отношения в области защиты прав потребителей, подлежит компенсации причинителем вреда при наличии его вины. Размер компенсации морального вреда определяется судом и не зависит от размера возмещения имущественного вреда."
Как определяется размер компенсации морального вреда?,"Размер компенсации морального вреда определяется судом в соответствии со статьей 15 Закона РФ ""О защите прав потребителей"".",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,16826.0,16973.0,Размер компенсации морального вреда определяется судом и не зависит от размера возмещения имущественного вреда.,Как определяется размер компенсации морального вреда?,"Размер компенсации морального вреда определяется судом в соответствии со статьей 15 Закона РФ ""О защите прав потребителей"".",Размер компенсации морального вреда определяется судом и не зависит от размера возмещения имущественного вреда.
Могут ли условия договора с продавцом ограничивать мои права как потребителя?,"Нет, согласно статье 16 Закона РФ ""О защите прав потребителей"", условия договора, ущемляющие права потребителя, признаются недействительными.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,16629.0,16958.0,"1. Недопустимыми условиями договора, ущемляющими права потребителя, являются условия, которые нарушают правила, установленные международными договорами Российской Федерации, настоящим Законом, законами и принимаемыми в соответствии с ними иными нормативными правовыми актами Российской Федерации, регулирующими отношения в области защиты прав потребителей. Недопустимые условия договора, ущемляющие права потребителя, ничтожны.",Могут ли условия договора с продавцом ограничивать мои права как потребителя?,"Нет, согласно статье 16 Закона РФ ""О защите прав потребителей"", условия договора, ущемляющие права потребителя, признаются недействительными.","1. Недопустимыми условиями договора, ущемляющими права потребителя, являются условия, которые нарушают правила, установленные международными договорами Российской Федерации, настоящим Законом, законами и принимаемыми в соответствии с ними иными нормативными правовыми актами Российской Федерации, регулирующими отношения в области защиты прав потребителей. Недопустимые условия договора, ущемляющие права потребителя, ничтожны."
Какова роль прокуратуры в защите прав потребителей?,"В соответствии со статьей 46 Закона РФ ""О защите прав потребителей"", органы прокуратуры вправе обращаться в суд в защиту прав потребителей.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,42541.0,42779.0,"Орган государственного надзора, органы местного самоуправления, общественные объединения потребителей (их ассоциации, союзы) вправе предъявлять иски в суды о прекращении противоправных действий изготовителя (исполнителя, продавца, уполномоченной организации или уполномоченного индивидуального предпринимателя, импортера) в отношении неопределенного круга потребителей.",Какова роль прокуратуры в защите прав потребителей?,"В соответствии со статьей 46 Закона РФ ""О защите прав потребителей"", органы прокуратуры вправе обращаться в суд в защиту прав потребителей.","Орган государственного надзора, органы местного самоуправления, общественные объединения потребителей (их ассоциации, союзы) вправе предъявлять иски в суды о прекращении противоправных действий изготовителя (исполнителя, продавца, уполномоченной организации или уполномоченного индивидуального предпринимателя, импортера) в отношении неопределенного круга потребителей."
Могу ли я обратиться в суд по месту своего жительства с иском о защите прав потребителей?,"Да, статья 17 Закона РФ ""О защите прав потребителей"" предоставляет потребителю право выбора суда.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,18785.0,18994.0,"2. Иски о защите прав потребителей могут быть предъявлены по выбору истца в суд по месту:
нахождения организации, а если ответчиком является индивидуальный предприниматель, - его жительства;
жительства или пребывания истца;
заключения или исполнения договора.",Могу ли я обратиться в суд по месту своего жительства с иском о защите прав потребителей?,"Да, статья 17 Закона РФ ""О защите прав потребителей"" предоставляет потребителю право выбора суда.","2. Иски о защите прав потребителей могут быть предъявлены по выбору истца в суд по месту:
нахождения организации, а если ответчиком является индивидуальный предприниматель, - его жительства;
жительства или пребывания истца;
заключения или исполнения договора."
Освобождаются ли потребители от уплаты государственной пошлины при обращении в суд с иском о защите своих прав?,"Да, в соответствии со статьей 17 Закона РФ ""О защите прав потребителей"" и законодательством о государственной пошлине, потребители освобождаются от уплаты государственной пошлины по искам о защите прав потребителей.",Закон РФ от 7 февраля 1992 г N 2300 I О защите прав потребителей с изменениями.txt,19482.0,20031.0,"3. Потребители, иные истцы по искам, связанным с нарушением прав потребителей, освобождаются от уплаты государственной пошлины в соответствии с законодательством Российской Федерации о налогах и сборах.",Освобождаются ли потребители от уплаты государственной пошлины при обращении в суд с иском о защите своих прав?,"Да, в соответствии со статьей 17 Закона РФ ""О защите прав потребителей"" и законодательством о государственной пошлине, потребители освобождаются от уплаты государственной пошлины по искам о защите прав потребителей.","3. Потребители, иные истцы по искам, связанным с нарушением прав потребителей, освобождаются от уплаты государственной пошлины в соответствии с законодательством Российской Федерации о налогах и сборах."
"Мне постоянно показывают рекламу по телевизору, которая кажется мне неправдивой. Куда я могу пожаловаться?","В соответствии с частью 1 статьи 3 Федерального закона ""О рекламе"", недобросовестная реклама не допускается. Если вы считаете рекламу недобросовестной, вы можете обратиться с жалобой в Федеральную антимонопольную службу (ФАС России), которая уполномочена контролировать соблюдение законодательства о рекламе (статья 33 Федерального закона ""О рекламе"").",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,2038.0,2118.0,"4) ненадлежащая реклама - реклама, не соответствующая требованиям законодательства
Российской Федерации;","Мне постоянно показывают рекламу по телевизору, которая кажется мне неправдивой. Куда я могу пожаловаться?","В соответствии с частью 1 статьи 3 Федерального закона ""О рекламе"", недобросовестная реклама не допускается. Если вы считаете рекламу недобросовестной, вы можете обратиться с жалобой в Федеральную антимонопольную службу (ФАС России), которая уполномочена контролировать соблюдение законодательства о рекламе (статья 33 Федерального закона ""О рекламе"").","4) ненадлежащая реклама - реклама, не соответствующая требованиям законодательства
Российской Федерации;"
"Я видел рекламу лекарства, которое обещает мгновенное излечение от всех болезней. Законно ли это?","Нет, такая реклама незаконна. Часть 7 статьи 24 Федерального закона ""О рекламе"" запрещает рекламу лекарственных средств, медицинских изделий и медицинских услуг, методов профилактики, диагностики, лечения и медицинской реабилитации, которая содержит, в частности, гарантию положительного лечебного эффекта, свойства и характеристики, не соответствующие действительности.",Федеральный закон от 13 марта 2006 г N 38 ФЗ О рекламе с изменениями.txt,36002.0,36369.0,"7. Реклама лекарственных препаратов, медицинских услуг, в том числе методов профилактики,
диагностики, лечения и медицинской реабилитации, медицинских изделий должна сопровождаться
предупреждением о наличии противопоказаний к их применению и использованию, необходимости
ознакомления с инструкцией по применению или получения консультации специалистов. В рекламе,
распространяемой в радиопрограммах, продолжительность такого предупреждения должна составлять
не менее чем три секунды, в рекламе, распространяемой в телепрограммах и при кино- и
видеообслуживании, - не менее чем пять секунд и должно быть отведено не менее чем семь процентов
площади кадра, а в рекламе, распространяемой другими способами, - не менее чем пять процентов
рекламной площади (рекламного пространства).","Я видел рекламу лекарства, которое обещает мгновенное излечение от всех болезней. Законно ли это?","Нет, такая реклама незаконна. Часть 7 статьи 24 Федерального закона ""О рекламе"" запрещает рекламу лекарственных средств, медицинских изделий и медицинских услуг, методов профилактики, диагностики, лечения и медицинской реабилитации, которая содержит, в частности, гарантию положительного лечебного эффекта, свойства и характеристики, не соответствующие действительности.","7. Реклама лекарственных препаратов, медицинских услуг, в том числе методов профилактики,
диагностики, лечения и медицинской реабилитации, медицинских изделий должна сопровождаться
предупреждением о наличии противопоказаний к их применению и использованию, необходимости
ознакомления с инструкцией по применению или получения консультации специалистов. В рекламе,
распространяемой в радиопрограммах, продолжительность такого предупреждения должна составлять
не менее чем три секунды, в рекламе, распространяемой в телепрограммах и при кино- и
видеообслуживании, - не менее чем пять секунд и должно быть отведено не менее чем семь процентов
площади кадра, а в рекламе, распространяемой другими способами, - не менее чем пять процентов
рекламной площади (рекламного пространства)."
