Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
"Что делать, если при проведении строительных работ на соседнем участке поврежден мой дом?",В случае повреждения дома следует обратиться к застройщику с требованием о возмещении ущерба в соответствии со статьей 60 Градостроительного кодекса Российской Федерации (ответственность застройщика).,Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,326028,326708,"Статья 60. Возмещение вреда, причиненного вследствие разрушения, повреждения объекта
капитального строительства, нарушения требований безопасности при строительстве, 
сносе объекта капитального строительства, требований к обеспечению безопасной
эксплуатации здания, сооружения
...
1. В случае причинения вреда личности или имуществу гражданина, имуществу юридического
лица вследствие разрушения, повреждения здания, сооружения либо части здания или сооружения..."
"Как узнать, какие требования предъявляются к доступности объектов для маломобильных групп населения при строительстве?","Требования к доступности устанавливаются Федеральным законом от 30 декабря 2009 г. N 384-ФЗ ""Технический регламент о безопасности зданий и сооружений"" и соответствующими сводами правил, которые являются обязательными для соблюдения при проектировании в силу статьи 48 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216,140766,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
"Что делать, если я обнаружил, что построенный объект не соответствует санитарно-эпидемиологическим требованиям?","О несоответствии санитарно-эпидемиологическим требованиям следует сообщить в органы Роспотребнадзора, которые осуществляют надзор в соответствии с санитарным законодательством и требованиями технических регламентов (статья 51 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,171093,171317,"Статья 51. Разрешение на строительство
...
1. Разрешение на строительство представляет собой документ, который подтверждает
соответствие проектной документации требованиям, установленным градостроительным регламентом..."
"Как узнать, какие требования предъявляются к энергоэффективности зданий при строительстве?","Требования к энергоэффективности устанавливаются Федеральным законом от 23 ноября 2009 г. N 261-ФЗ ""Об энергосбережении и о повышении энергетической эффективности и о внесении изменений в отдельные законодательные акты Российской Федерации"", которые учитываются при разработке проектной документации согласно статье 48 Градостроительного кодекса Российской Федерации.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216,140766,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
"Как узнать, какие требования предъявляются к вентиляции и кондиционированию воздуха в жилых домах?","Требования к вентиляции и кондиционированию устанавливаются строительными нормами и правилами, которые являются частью нормативно-технической документации в строительстве (статья 48 Градостроительного кодекса Российской Федерации).1",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216,140766,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
"Что делать, если я считаю, что при строительстве нарушаются мои права на неприкосновенность частной жизни (например, слишком близко расположены окна соседнего дома)?","Вопросы, связанные с нарушением прав на неприкосновенность частной жизни, могут быть рассмотрены в судебном порядке с учетом градостроительных норм и правил, регулирующих расстояния между зданиями (статья 42 Градостроительного кодекса Российской Федерации - планировка территории).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,118573,118966,"Статья 42. Проект планировки территории
...
1. Подготовка проектов планировки территории осуществляется для выделения элементов
планировочной структуры, установления границ территорий общего пользования, границ зон
планируемого размещения объектов капитального строительства, определения характеристик и
очередности планируемого развития территории."
"Как узнать, какие требования предъявляются к освещению территории при строительстве многоквартирных домов?","Требования к освещению территории могут устанавливаться нормами градостроительного проектирования, являющимися частью правил землепользования и застройки (статья 31 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,10417,10744,"26) нормативы градостроительного проектирования - совокупность расчетных
показателей, установленных в соответствии с настоящим Кодексом в целях обеспечения благоприятных
условий жизнедеятельности человека и подлежащих применению при подготовке документов
территориального планирования, градостроительного зонирования, документации по планировке
территории;"
"Как узнать, какие требования предъявляются к озеленению территории при строительстве?","Требования к озеленению территории могут устанавливаться правилами землепользования и застройки и проектом благоустройства, которые разрабатываются в соответствии с принципами устойчивого развития территорий (статья 2 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,14920,15137,"Статья 2. Основные принципы законодательства о градостроительной деятельности
...
1) обеспечение комплексного и устойчивого развития территории на основе
территориального планирования, градостроительного зонирования и планировки территории;"
"Что делать, если застройщик не обеспечивает безопасность строительной площадки?","О нарушениях требований безопасности на строительной площадке следует сообщить в органы государственного строительного надзора, которые контролируют соблюдение требований технических регламентов (статья 53 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,212446,212774,"Статья 53. Строительный контроль
...
1. Строительный контроль проводится в процессе строительства, реконструкции, капитального
ремонта объектов капитального строительства в целях проверки соответствия выполняемых работ
проектной документации ... требованиям
технических регламентов..."
"Как узнать, какие требования предъявляются к организации строительной площадки?","Требования к организации строительной площадки устанавливаются строительными нормами и правилами, а также проектом организации строительства, являющимся частью проектной документации (статья 48 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,146136,146516,"2) проект организации строительства объектов капитального строительства должен содержать
проект организации работ по сносу объектов капитального строительства, их частей (в случае
необходимости сноса объектов капитального строительства, их частей для строительства, 
реконструкции других объектов капитального строительства);"
"Что делать, если я считаю, что при строительстве нарушаются мои права на тишину и покой?","Нарушение тишины и покоя в ночное время регулируется законодательством об административных правонарушениях, однако градостроительные нормы также могут устанавливать требования к шумовому режиму на территориях жилой застройки (статья 30 Градостроительного кодекса Российской Федерации - градостроительное зонирование).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,91534,91956,"Статья 30. Правила землепользования и застройки
...
1. Правила землепользования и застройки разрабатываются в целях:
1) создания условий для устойчивого развития территорий муниципальных образований, 
сохранения окружающей среды и объектов культурного наследия;"
"Как узнать, какие требования предъявляются к сбору и вывозу строительного мусора?","Требования к сбору и вывозу строительного мусора могут устанавливаться местными нормативными актами, принимаемыми в соответствии с законодательством об отходах производства и потребления, а также проектом организации строительства (статья 48 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,146136,146516,"2) проект организации строительства объектов капитального строительства должен содержать
проект организации работ по сносу объектов капитального строительства, их частей (в случае
необходимости сноса объектов капитального строительства, их частей для строительства, 
реконструкции других объектов капитального строительства);"
"Как узнать, какие требования предъявляются к пожарным проездам и подъездам к зданиям?","Требования к пожарным проездам и подъездам устанавливаются нормами пожарной безопасности, которые являются обязательными для соблюдения при проектировании и строительстве (статья 48 и статья 51 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216,140766,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
"Что делать, если я обнаружил, что построенный объект препятствует доступу к объекту общего пользования?","О препятствии доступа к объекту общего пользования следует сообщить в органы местного самоуправления, которые осуществляют контроль за соблюдением градостроительных регламентов и правил землепользования и застройки (статья 31 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,91957,92419,"2. Правила землепользования и застройки включают в себя:
1) порядок их применения и внесения изменений в указанные правила;
2) карту градостроительного зонирования;
3) градостроительные регламенты."
"Как узнать, какие требования предъявляются к освещению улиц и общественных2 пространств при новом строительстве?","Требования к освещению устанавливаются нормами градостроительного проектирования, которые являются частью правил землепользования и застройки (статья 31 Градостроительного кодекса Российской Федерации) и могут также регулироваться проектами благоустройства территории (статья 42 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,10417,10744,"26) нормативы градостроительного проектирования - совокупность расчетных
показателей, установленных в соответствии с настоящим Кодексом в целях обеспечения благоприятных
условий жизнедеятельности человека и подлежащих применению при подготовке документов
территориального планирования, градостроительного зонирования, документации по планировке
территории;"
"Как узнать, какие требования предъявляются к лифтовому оборудованию в многоквартирных домах?","Требования к лифтовому оборудованию устанавливаются техническими регламентами, стандартами и сводами правил, которые являются обязательными для применения при проектировании и строительстве (статья 48 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216,140766,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
"Что делать, если я считаю, что проект строительства нарушает требования к охране объектов культурного наследия?","О нарушении требований к охране объектов культурного наследия следует сообщить в органы охраны культурного наследия в соответствии с Федеральным законом от 25 июня 2002 г. N 73-ФЗ ""Об объектах культурного наследия (памятниках истории и культуры) народов Российской Федерации"", требования которого учитываются при градостроительном планировании (статья 9 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,38166,38558,"Статья 9. Общие положения о документах территориального планирования
...
1. Территориальное планирование направлено на определение в документах территориального
планирования назначения территорий исходя из совокупности социальных, экономических, 
экологических и иных факторов..."
"Как узнать, какие требования предъявляются к обустройству детских площадок и зон отдыха при строительстве жилых комплексов?","Требования к обустройству детских площадок и зон отдыха могут устанавливаться нормами градостроительного проектирования, проектами планировки территории (статья 42 Градостроительного кодекса Российской Федерации) и проектами благоустройства.",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,118573,118966,"Статья 42. Проект планировки территории
...
1. Подготовка проектов планировки территории осуществляется для выделения элементов
планировочной структуры, установления границ территорий общего пользования, границ зон
планируемого размещения объектов капитального строительства, определения характеристик и
очередности планируемого развития территории."
"Что делать, если я обнаружил, что построенный объект создает угрозу обрушения?","Об угрозе обрушения следует немедленно сообщить в органы государственного строительного надзора, которые обязаны принять меры по предотвращению чрезвычайных ситуаций (статья 54 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,214938,215240,"Статья 54. Государственный строительный надзор
...
1. Государственный строительный надзор осуществляется:"
"Как узнать, какие требования предъявляются к организации водоотведения и канализации3 при строительстве?","Требования к водоотведению и канализации устанавливаются строительными нормами и правилами, а также техническими условиями на подключение к сетям, выдаваемыми ресурсоснабжающими организациями в соответствии с законодательством (статья 48 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,144191,144505,"3) технические условия подключения (технологического присоединения), предусмотренные
статьей 52.1 настоящего Кодекса (в случае, если функционирование проектируемого объекта
капитального строительства невозможно обеспечить без подключения (технологического
присоединения) такого объекта к сетям инженерно-технического обеспечения)."
"Как узнать, какие требования предъявляются к отоплению и вентиляции в нежилых зданиях?","Требования к отоплению и вентиляции устанавливаются строительными нормами и правилами, техническими регламентами и стандартами, которые учитываются при проектировании (статья 48 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216,140766,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
"Что делать, если я считаю, что проект строительства нарушает мои права как собственника соседнего нежилого здания?","В случае нарушения прав собственника следует обратиться с претензией к застройщику и, при необходимости, в суд, ссылаясь на нормы градостроительного законодательства и правила землепользования и застройки (статья 60 Градостроительного кодекса Российской Федерации - ответственность застройщика).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,326028,326708,"Статья 60. Возмещение вреда, причиненного вследствие разрушения, повреждения объекта
капитального строительства, нарушения требований безопасности при строительстве, 
сносе объекта капитального строительства, требований к обеспечению безопасной
эксплуатации здания, сооружения
...
1. В случае причинения вреда личности или имуществу гражданина, имуществу юридического
лица вследствие разрушения, повреждения здания, сооружения либо части здания или сооружения..."
"Как узнать, какие требования предъявляются к электроснабжению при строительстве?","Требования к электроснабжению устанавливаются правилами устройства электроустановок и техническими условиями на подключение к электрическим сетям, выдаваемыми сетевыми организациями в соответствии с законодательством (статья 48 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,144191,144505,"3) технические условия подключения (технологического присоединения), предусмотренные
статьей 52.1 настоящего Кодекса (в случае, если функционирование проектируемого объекта
капитального строительства невозможно обеспечить без подключения (технологического
присоединения) такого объекта к сетям инженерно-технического обеспечения)."
"Как узнать, какие требования предъявляются к слаботочным системам (телевидение, интернет) при строительстве многоквартирных домов?","Требования к слаботочным системам могут устанавливаться техническими условиями, выдаваемыми операторами связи, и проектной документацией (статья 48 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216,140766,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
"Что делать, если я считаю, что проект строительства нарушает требования к охране зеленых насаждений?","О нарушении требований к охране зеленых насаждений следует сообщить в органы местного самоуправления или природоохранные органы, которые контролируют соблюдение соответствующих правил и норм (статья 31 Градостроительного кодекса Российской Федерации - правила землепользования и застройки).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,91957,92419,"2. Правила землепользования и застройки включают в себя:
1) порядок их применения и внесения изменений в указанные правила;
2) карту градостроительного зонирования;
3) градостроительные регламенты."
"Как узнать, какие требования предъявляются к организации парковочного пространства для инвалидов при строительстве?","Требования к организации парковочного пространства для инвалидов устанавливаются строительными нормами и правилами, а также законодательством о социальной защите инвалидов, которые являются обязательными для соблюдения при проектировании (статья 48 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,140216,140766,"Статья 48. Архитектурно-строительное проектирование
...
1. Архитектурно-строительное проектирование осуществляется путем подготовки проектной
документации..."
"Что делать, если я обнаружил, что построенный объект препятствует свободному передвижению пешеходов?","О препятствии свободному передвижению пешеходов следует сообщить в органы местного самоуправления, которые осуществляют контроль за соблюдением градостроительных регламентов и обеспечением доступной среды (статья 31 и статья 42 Градостроительного кодекса Российской Федерации).",Градостроительный кодекс Российской Федерации от 29 декабря 2004 г. N 190-ФЗ (с изменениями и дополнениями).txt,91957,92419,"2. Правила землепользования и застройки включают в себя:
1) порядок их применения и внесения изменений в указанные правила;
2) карту градостроительного зонирования;
3) градостроительные регламенты."
