Вопрос,Ответ,ИсточникФайл,НачалоСимвола,КонецСимвола,ИзвлеченныйСниппет
Что такое судебные расходы и кто их несет?,"Судебные расходы состоят из государственной пошлины и издержек, связанных с рассмотрением дела. Судебные расходы, понесенные сторонами, в пользу которой вынесено решение суда, взыскиваются судом с другой стороны (статья 88 и статья 98 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,40112,40482,"Статья 88. Судебные расходы
ГАРАНТ: См. комментарии к статье 88 ГПК РФ
1. Судебные расходы состоят из государственной пошлины и издержек, связанных с
рассмотрением дела.
2. Размер и порядок уплаты государственной пошлины устанавливаются федеральными
законами о налогах и сборах."
"Какие виды издержек, связанных с рассмотрением дела, подлежат возмещению?","К издержкам, связанным с рассмотрением дела, относятся, в частности, суммы, подлежащие выплате свидетелям, экспертам, специалистам и переводчикам, расходы на проезд и проживание сторон и третьих лиц, понесенные ими в связи с явкой в суд, расходы на оплату услуг представителей, расходы на производство осмотра доказательств на месте, расходы на почтовые отправления, понесенные сторонами, и другие признанные судом необходимыми расходы (статья 94 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,41768,42484,"К издержкам, связанным с рассмотрением дела, относятся:
суммы, подлежащие выплате свидетелям, экспертам, специалистам и переводчикам;
расходы на оплату услуг переводчика, понесенные иностранными гражданами и лицами без
гражданства, если иное не предусмотрено международным договором Российской Федерации;
расходы на проезд и проживание сторон и третьих лиц, понесенные ими в связи с явкой в суд;
расходы на оплату услуг представителей;
расходы на производство осмотра на месте;
компенсация за фактическую потерю времени в соответствии со статьей 99 настоящего
Кодекса;
связанные с рассмотрением дела почтовые расходы, понесенные сторонами;
другие признанные судом необходимыми расходы."
Что такое процессуальные сроки и каковы последствия их пропуска?,Процессуальные сроки устанавливаются законом или судом для совершения процессуальных действий. Пропуск процессуальных сроков может повлечь за собой утрату права на совершение соответствующего процессуального действия (статья 107 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,46195,46517,"1. Процессуальные действия совершаются в процессуальные сроки, установленные
федеральным законом. В случаях, если сроки не установлены федеральным законом, они назначаются
судом. Судом сроки должны устанавливаться с учетом принципа разумности."
В каком порядке восстанавливаются пропущенные процессуальные сроки?,Пропущенный по уважительной причине процессуальный срок может быть восстановлен судом по заявлению заинтересованного лица (статья 112 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,47295,47588,"1. Лицам, пропустившим установленный федеральным законом процессуальный срок по
причинам, признанным судом уважительными, пропущенный срок может быть восстановлен."
Что такое обеспечительный арест имущества и как он налагается?,"Обеспечительный арест имущества налагается судом в качестве обеспечительной меры по заявлению лица, участвующего в деле, в порядке, установленном статьей 140 Гражданского процессуального кодекса Российской Федерации.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,63835,64027,"1) наложение ареста на имущество, принадлежащее ответчику и находящееся у него или других
лиц;"
Что такое частная жалоба и в каком порядке она подается?,"Частная жалоба подается на определения суда первой инстанции, которыми не заканчивается производство по делу, в суд апелляционной инстанции в течение пятнадцати дней со дня вынесения определения (статья 331 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,140110,140631,"1. Определения суда первой инстанции могут быть обжалованы в суд апелляционной инстанции
отдельно от решения суда сторонами и другими лицами, участвующими в деле (частная жалоба), а
прокурором может быть принесено представление в случае, если:
1) это предусмотрено настоящим Кодексом;
2) определение суда исключает возможность дальнейшего движения дела."
Что такое кассационная жалоба и в чем ее отличие от апелляционной жалобы?,Кассационная жалоба подается на вступившие в законную силу судебные постановления в суд кассационной инстанции. Апелляционная жалоба подается на не вступившие в законную силу решения суда первой инстанции (статья 376 и статья 320 Гражданского процессуального кодекса Российской Федерации).,Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,143175,143574,"1. Вступившие в законную силу судебные постановления, указанные в части второй статьи
377 настоящего Кодекса, могут быть обжалованы в порядке, установленном настоящим параграфом, в
кассационный суд общей юрисдикции лицами, участвующими в деле, и другими лицами, если их права
и законные интересы нарушены судебными постановлениями."
Что такое судебный запрос и в каких случаях он направляется?,"Судебный запрос направляется судом в случаях, когда для рассмотрения дела необходимо получение сведений или документов от государственных органов, организаций или должностных лиц, которые не могут быть представлены сторонами самостоятельно (статья 57 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,29202,29675,"2. В ходатайстве об истребовании доказательства должно быть обозначено доказательство, а
также указано, какие обстоятельства, имеющие значение для правильного рассмотрения и разрешения
дела, могут быть подтверждены или опровергнуты этим доказательством, указаны причины, 
препятствующие получению доказательства, и место нахождения доказательства. Суд выдает стороне
обязательный для исполнения запрос для получения доказательства или запрашивает доказательство
непосредственно."
Что такое судебное поручение и в каких случаях оно направляется?,"Судебное поручение направляется судом, рассматривающим дело, другому суду для совершения отдельных процессуальных действий, например, для допроса свидетеля, находящегося в другом городе (статья 62 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,30548,31032,"1. Суд, рассматривающий дело, при необходимости получения доказательств, находящихся в
другом городе или районе, поручает соответствующему суду произвести определенные процессуальные
действия.
2. В определении суда о судебном поручении кратко излагается содержание рассматриваемого
дела и указываются сведения о сторонах, месте их проживания или месте их нахождения; 
обстоятельства, подлежащие выяснению; доказательства, которые должен собрать суд, выполняющий
поручение."
Что такое участие прокурора в гражданском процессе и в каких случаях оно обязательно?,"Прокурор вступает в гражданский процесс и дает заключение по делам, предусмотренным законом, а также вправе обратиться в суд с заявлением в защиту прав, свобод и законных интересов граждан, неопределенного круга лиц или интересов Российской Федерации, субъектов Российской Федерации, муниципальных образований (статья 45 Гражданского процессуального кодекса Российской Федерации). Участие прокурора обязательно по делам о выселении, о восстановлении на работе, о возмещении вреда, причиненного жизни или здоровью, и в других случаях, установленных федеральным законом.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,22403,23745,"1. Прокурор вправе обратиться в суд с заявлением в защиту прав, свобод и законных интересов
граждан, неопределенного круга лиц или интересов Российской Федерации, субъектов Российской
Федерации, муниципальных образований. Заявление в защиту прав, свобод и законных интересов
гражданина может быть подано прокурором только в случае, если гражданин по состоянию здоровья, 
возрасту, недееспособности и другим уважительным причинам не может сам обратиться в суд. 
Указанное ограничение не распространяется на заявление прокурора, основанием для которого является
обращение к нему граждан о защите нарушенных или оспариваемых социальных прав, свобод и
законных интересов в сфере трудовых (служебных) отношений и иных непосредственно связанных с
ними отношений; защиты семьи, материнства, отцовства и детства; социальной защиты, включая
социальное обеспечение; обеспечения права на жилище в государственном и муниципальном
жилищных фондах; охраны здоровья, включая медицинскую помощь; обеспечения права на
благоприятную окружающую среду; образования.
...3. Прокурор вступает в процесс и дает заключение по делам о выселении, о восстановлении на
работе, о возмещении вреда, причиненного жизни или здоровью, а также в иных случаях, 
предусмотренных настоящим Кодексом и другими федеральными законами, в целях осуществления
возложенных на него полномочий. Неявка прокурора, извещенного о времени и месте рассмотрения
дела, не является препятствием к разбирательству дела."
Что такое участие органов государственной власти и органов местного самоуправления в гражданском процессе?,"В случаях, предусмотренных федеральным законом, органы государственной власти и органы местного самоуправления могут выступать в суде в качестве истцов или ответчиков, а также могут быть привлечены к участию в деле для дачи заключения по делу (статья 46 и статья 47 Гражданского процессуального кодекса Российской Федерации).",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,23746,24164,"Статья 46. Обращение в суд в защиту прав, свобод и законных интересов других лиц
ГАРАНТ: См. комментарии к статье 46 ГПК РФ
1. В случаях, предусмотренных законом, органы государственной власти, органы местного
самоуправления, организации или граждане вправе обратиться в суд с заявлением в защиту прав, свобод
и законных интересов других лиц по их просьбе либо в защиту прав, свобод и законных интересов
неопределенного круга лиц."
"Что такое мировое соглашение, заключенное сторонами без обращения в суд, и как его можно утвердить в судебном порядке?","Мировое соглашение, заключенное сторонами без обращения в суд, может быть представлено в суд для его утверждения в порядке, установленном статьей 173 Гражданского процессуального кодекса Российской Федерации. После утверждения судом мировое соглашение приобретает силу судебного решения.",Гражданский процессуальный кодекс Российской Федерации от 14 ноября 2002 г. N 138-ФЗ (ГПК РФ) (с изменениями и дополнениями).txt,73099,73518,"Статья 153.8. Заключение мирового соглашения
ГАРАНТ: См. комментарии к статье 153.8 ГПК РФ
1. Мировое соглашение может быть заключено сторонами на любой стадии гражданского
процесса и при исполнении судебного акта. Третьи лица, заявляющие самостоятельные требования
относительно предмета спора, вправе участвовать в заключении мирового соглашения в качестве
стороны."
